Store,Pavan's Quick Mart,,,,,,,,
TaxCategory,Food,0.07,1/1/16,,,,,,
TaxCategory,Beverage,0,1/1/16,,,,,,
Cashier,1,David,111-11-1111,1 1st Street,Edmond,OK,73034,405.348.1111,pass
Cashier,2,Sally,222-22-2222,2 2nd Street,Edmond,OK,73034,405.348.2222,password2
Item,1001,11111111111,Turkey Sandwich,Food,2.59,1/1/16,2.29,10/30/16,11/30/16
Item,1002,22222222222,Ham Sandwich,Food,2.59,1/1/16,,,
Item,1003,33333333333,Coke,Beverage,0.97,1/1/16,0.79,9/1/16,10/1/16
Item,1004,44444444444,Dr. Pepper,Beverage,0.97,1/1/16,0.79,10/30/15,11/30/16
Register,1,,,,,,,,
Register,2,,,,,,,,
Session,1,2,,,,,,,
Sale,Y,,,,,,,,
SaleLineItem,1001,1,,,,,,,
SaleLineItem,1002,2,,,,,,,
Payment,Cash,7.47,10,,,,,,
Sale,N,,,,,,,,
SaleLineItem,1003,2,,,,,,,
SaleLineItem,1004,1,,,,,,,
Payment,Credit,2.73,5,MC,1.11E+15,10/1/17,,,
Session,2,1,,,,,,,
Sale,N,,,,,,,,
SaleLineItem,1001,1,,,,,,,
SaleLineItem,1003,2,,,,,,,
Payment,Cash,4.39,5,,,,,,
Sale,N,,,,,,,,
SaleLineItem,1002,2,,,,,,,
SaleLineItem,1004,1,,,,,,,
Payment,Check,6.51,6.51,1010101010,111111111,1001,,,
